geo,age,gender,nationality\year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brussels,0,Male,Belgian,4182,4202,4418,4334,4395,4299,4450,4792,4890,4967,5478,5736,5719,5871,6164,6171,6562,6370,6541,6730,6708,6440,6478,6393,6271
Brussels,0,Male,Foreigner,2377,2269,2065,2033,2106,2075,1909,1798,1591,1648,1533,1497,1348,1540,1601,1724,1797,1911,2118,2326,2689,2818,2858,2936,3025
Brussels,0,Female,Belgian,4052,4014,4344,4073,3992,4206,4361,4325,4658,4805,5082,5580,5497,5737,5868,6008,6123,6029,6180,6411,6356,6111,6178,6010,6020
Brussels,0,Female,Foreigner,2188,2192,1981,1942,1971,1824,1868,1691,1647,1624,1479,1450,1376,1461,1506,1593,1753,1862,2114,2267,2596,2670,2809,2670,2891
Brussels,1,Male,Belgian,3904,3996,4250,4227,4169,4312,4248,4444,4832,4788,5120,5504,5742,5630,5758,6070,6103,6438,6354,6425,6619,6604,6384,6435,6216
Brussels,1,Male,Foreigner,2316,2427,2062,2096,2079,2031,2041,1796,1691,1621,1465,1364,1400,1312,1502,1631,1726,1837,2039,2201,2476,2801,2811,2866,2961
Brussels,1,Female,Belgian,3769,3829,4063,4143,3992,3878,4121,4355,4405,4553,4882,5101,5593,5423,5682,5814,5857,6087,6019,6086,6320,6205,6090,6142,5882
Brussels,1,Female,Foreigner,2241,2261,1996,2027,1967,1914,1851,1768,1579,1677,1431,1395,1375,1374,1418,1497,1629,1735,1946,2202,2381,2693,2663,2784,2745
Brussels,2,Male,Belgian,3790,3677,4053,4086,4133,4111,4212,4234,4444,4772,4889,5185,5503,5619,5538,5636,5896,5989,6294,6214,6261,6423,6520,6305,6254
Brussels,2,Male,Foreigner,2365,2344,2209,2043,2076,1961,2028,1883,1640,1699,1425,1321,1281,1341,1255,1496,1658,1726,1871,2092,2281,2533,2721,2701,2800
Brussels,2,Female,Belgian,3500,3590,3902,3909,4001,3895,3779,4115,4396,4373,4626,4943,5133,5522,5305,5549,5680,5810,5957,5921,5982,6125,6112,6009,6023
Brussels,2,Female,Foreigner,2318,2277,2028,2011,2028,1876,1885,1735,1612,1547,1486,1326,1272,1334,1318,1437,1553,1646,1768,1986,2236,2472,2625,2582,2746
Brussels,3,Male,Belgian,3569,3646,3745,3912,3994,4030,4065,4252,4279,4379,4878,5009,5211,5396,5481,5421,5482,5834,5914,6152,6124,6106,6335,6448,6109
Brussels,3,Male,Foreigner,2296,2337,2121,2197,2055,2024,1904,1891,1723,1624,1492,1287,1263,1250,1321,1282,1516,1619,1725,1929,2192,2363,2472,2635,2682
Brussels,3,Female,Belgian,3360,3369,3650,3769,3807,3921,3819,3801,4171,4351,4520,4745,4968,5032,5446,5235,5400,5570,5730,5841,5818,5831,5977,6029,5861
Brussels,3,Female,Foreigner,2232,2300,2075,2027,2013,1936,1808,1765,1562,1595,1364,1352,1241,1204,1258,1337,1444,1545,1658,1803,2002,2311,2433,2512,2570
Brussels,4,Male,Belgian,3499,3446,3700,3676,3889,3969,4007,4105,4299,4266,4497,4977,5088,5185,5307,5364,5304,5426,5774,5854,6067,5989,6067,6262,6321
Brussels,4,Male,Foreigner,2284,2280,2161,2090,2156,1964,1989,1781,1733,1681,1434,1359,1214,1201,1203,1307,1344,1511,1594,1762,2000,2263,2327,2397,2617
